datetime,event,details
1901-01-02T20:18:20Z,Earth Perihelion,147083345.22 km
1901-07-04T16:21:47Z,Earth Aphelion,152102228.15 km
1902-01-01T07:23:23Z,Earth Perihelion,147088837.56 km
1902-07-04T12:58:55Z,Earth Aphelion,152106526.87 km
1903-01-04T00:41:54Z,Earth Perihelion,147095825.81 km
1903-07-03T04:09:56Z,Earth Aphelion,152102167.63 km
1904-01-03T04:15:04Z,Earth Perihelion,147087444.88 km
1904-07-05T01:23:52Z,Earth Aphelion,152105950.18 km
1905-01-01T04:26:12Z,Earth Perihelion,147095963.26 km
1905-07-03T15:43:55Z,Earth Aphelion,152106281.29 km
1906-01-03T16:34:37Z,Earth Perihelion,147094817.41 km
1906-07-03T07:05:21Z,Earth Aphelion,152095008.50 km
1907-01-02T07:27:37Z,Earth Perihelion,147088761.74 km
1907-07-05T15:45:36Z,Earth Aphelion,152104439.35 km
1908-01-02T23:02:00Z,Earth Perihelion,147095727.43 km
1908-07-02T18:54:08Z,Earth Aphelion,152107798.84 km
1909-01-03T05:40:11Z,Earth Perihelion,147089123.86 km
1909-07-04T04:07:51Z,Earth Aphelion,152099883.24 km
1910-01-01T10:52:40Z,Earth Perihelion,147093916.64 km
1910-07-04T22:33:27Z,Earth Aphelion,152104625.05 km
1911-01-03T15:02:05Z,Earth Perihelion,147100038.62 km
1911-07-03T06:34:10Z,Earth Aphelion,152102066.63 km
1912-01-03T10:43:48Z,Earth Perihelion,147085949.97 km
1912-07-04T23:15:48Z,Earth Aphelion,152103483.68 km
1913-01-01T02:20:06Z,Earth Perihelion,147090022.21 km
1913-07-03T23:51:09Z,Earth Aphelion,152106944.33 km
1914-01-03T20:50:58Z,Earth Perihelion,147093158.33 km
1914-07-02T23:16:26Z,Earth Aphelion,152098674.21 km
1915-01-02T18:03:23Z,Earth Perihelion,147088309.83 km
1915-07-05T21:22:53Z,Earth Aphelion,152106258.88 km
1916-01-02T12:39:00Z,Earth Perihelion,147097726.96 km
1916-07-03T05:25:04Z,Earth Aphelion,152109899.29 km
1917-01-03T10:55:00Z,Earth Perihelion,147092634.72 km
1917-07-03T19:14:46Z,Earth Aphelion,152097443.48 km
1918-01-01T16:58:16Z,Earth Perihelion,147092588.86 km
1918-07-05T07:45:13Z,Earth Aphelion,152099777.87 km
1919-01-03T08:23:41Z,Earth Perihelion,147100715.20 km
1919-07-03T09:28:21Z,Earth Aphelion,152099194.52 km
1920-01-03T21:46:52Z,Earth Perihelion,147089150.83 km
1920-07-04T14:09:55Z,Earth Aphelion,152099312.30 km
1921-01-01T04:29:11Z,Earth Perihelion,147093974.03 km
1921-07-04T08:06:28Z,Earth Aphelion,152105576.69 km
1922-01-03T16:56:17Z,Earth Perihelion,147099917.63 km
1922-07-02T21:44:11Z,Earth Aphelion,152099866.33 km
1923-01-02T23:21:56Z,Earth Perihelion,147088551.60 km
1923-07-06T00:19:42Z,Earth Aphelion,152105343.58 km
1924-01-02T01:53:35Z,Earth Perihelion,147091633.55 km
1924-07-03T13:21:26Z,Earth Aphelion,152112124.83 km
1925-01-03T15:40:57Z,Earth Perihelion,147087087.19 km
1925-07-03T04:55:57Z,Earth Aphelion,152101147.92 km
1926-01-02T03:35:54Z,Earth Perihelion,147086519.92 km
1926-07-05T13:58:16Z,Earth Aphelion,152103605.10 km
1927-01-03T01:35:11Z,Earth Perihelion,147099816.26 km
1927-07-03T18:06:31Z,Earth Aphelion,152104824.99 km
1928-01-04T06:48:53Z,Earth Perihelion,147091487.64 km
1928-07-04T10:47:58Z,Earth Aphelion,152099734.09 km
1929-01-01T07:59:04Z,Earth Perihelion,147094541.25 km
1929-07-04T21:06:37Z,Earth Aphelion,152101793.17 km
1930-01-03T12:20:49Z,Earth Perihelion,147102079.70 km
1930-07-03T01:02:42Z,Earth Aphelion,152094865.34 km
1931-01-03T10:37:26Z,Earth Perihelion,147090936.71 km
1931-07-05T22:29:04Z,Earth Aphelion,152097581.24 km
1932-01-02T03:20:49Z,Earth Perihelion,147095902.75 km
1932-07-03T20:29:07Z,Earth Aphelion,152107487.95 km
1933-01-03T18:51:15Z,Earth Perihelion,147095714.78 km
1933-07-02T19:46:35Z,Earth Aphelion,152100066.25 km
1934-01-02T09:30:17Z,Earth Perihelion,147091973.33 km
1934-07-05T18:36:59Z,Earth Aphelion,152101508.46 km
1935-01-02T07:32:53Z,Earth Perihelion,147099815.91 km
1935-07-04T01:51:27Z,Earth Aphelion,152106166.93 km
1936-01-04T09:50:19Z,Earth Perihelion,147087511.59 km
1936-07-03T19:56:21Z,Earth Aphelion,152101344.22 km
1937-01-01T14:15:03Z,Earth Perihelion,147086175.61 km
1937-07-05T03:50:17Z,Earth Aphelion,152104892.48 km
1938-01-03T08:01:45Z,Earth Perihelion,147097435.47 km
1938-07-03T04:06:57Z,Earth Aphelion,152101955.29 km
1939-01-03T22:10:22Z,Earth Perihelion,147089744.60 km
1939-07-05T19:54:10Z,Earth Aphelion,152101702.13 km
1940-01-02T05:25:51Z,Earth Perihelion,147095385.93 km
1940-07-04T09:48:01Z,Earth Aphelion,152108964.64 km
1941-01-03T18:09:36Z,Earth Perihelion,147097618.49 km
1941-07-02T22:52:08Z,Earth Aphelion,152098518.36 km
1942-01-02T19:14:49Z,Earth Perihelion,147092087.49 km
1942-07-06T00:04:50Z,Earth Aphelion,152094828.60 km
1943-01-02T04:34:43Z,Earth Perihelion,147100413.84 km
1943-07-04T10:26:56Z,Earth Aphelion,152101257.20 km
1944-01-04T17:36:10Z,Earth Perihelion,147093927.80 km
1944-07-03T05:32:38Z,Earth Aphelion,152097381.49 km
1945-01-01T22:44:20Z,Earth Perihelion,147092778.25 km
1945-07-05T10:01:32Z,Earth Aphelion,152100542.67 km
1946-01-02T17:52:03Z,Earth Perihelion,147104425.24 km
1946-07-03T10:38:31Z,Earth Aphelion,152100682.71 km
1947-01-04T02:44:29Z,Earth Perihelion,147092454.00 km
1947-07-05T10:37:17Z,Earth Aphelion,152098878.22 km
1948-01-02T05:09:49Z,Earth Perihelion,147090440.69 km
1948-07-04T17:28:04Z,Earth Aphelion,152108523.75 km
1949-01-03T13:30:09Z,Earth Perihelion,147094020.45 km
1949-07-02T20:43:49Z,Earth Aphelion,152102435.29 km
1950-01-03T06:17:03Z,Earth Perihelion,147088732.25 km
1950-07-05T22:30:26Z,Earth Aphelion,152098453.35 km
1951-01-02T03:51:00Z,Earth Perihelion,147098650.52 km
1951-07-04T20:53:24Z,Earth Aphelion,152106599.67 km
1952-01-04T20:40:53Z,Earth Perihelion,147095987.03 km
1952-07-03T02:17:44Z,Earth Aphelion,152100344.74 km
1953-01-02T06:37:10Z,Earth Perihelion,147091211.94 km
1953-07-05T18:18:31Z,Earth Aphelion,152097976.10 km
1954-01-02T08:18:28Z,Earth Perihelion,147102379.12 km
1954-07-03T19:53:27Z,Earth Aphelion,152098313.46 km
1955-01-04T12:20:22Z,Earth Perihelion,147093048.44 km
1955-07-04T22:03:53Z,Earth Aphelion,152095264.79 km
1956-01-02T13:23:16Z,Earth Perihelion,147092576.93 km
1956-07-05T01:12:14Z,Earth Aphelion,152105408.51 km
1957-01-03T06:29:43Z,Earth Perihelion,147101250.09 km
1957-07-03T00:21:00Z,Earth Aphelion,152101935.96 km
1958-01-03T13:24:19Z,Earth Perihelion,147093940.59 km
1958-07-05T19:54:11Z,Earth Aphelion,152095832.11 km
1959-01-02T00:17:13Z,Earth Perihelion,147097242.11 km
1959-07-05T06:33:29Z,Earth Aphelion,152105568.98 km
1960-01-04T18:51:36Z,Earth Perihelion,147092875.19 km
1960-07-02T21:32:39Z,Earth Aphelion,152101980.80 km
1961-01-02T16:47:11Z,Earth Perihelion,147085922.42 km
1961-07-05T19:52:13Z,Earth Aphelion,152098947.96 km
1962-01-02T04:48:12Z,Earth Perihelion,147099425.64 km
1962-07-04T04:48:02Z,Earth Aphelion,152102673.35 km
1963-01-04T19:35:51Z,Earth Perihelion,147095598.73 km
1963-07-04T13:26:27Z,Earth Aphelion,152098415.60 km
1964-01-02T20:43:57Z,Earth Perihelion,147094328.66 km
