datetime,event,details
1901-05-18T05:36:48Z,Solar Eclipse (Not visible),
1901-11-11T05:54:33Z,Solar Eclipse (Partial),"Begin: 04:46, Max: 05:55, End: 07:11, Mag: 0.663"
1902-04-08T13:49:15Z,Solar Eclipse (Not visible),
1902-04-22T18:51:58Z,Lunar Eclipse (Total),"Begin: 16:59, Max: 18:52, End: 20:45, Mag: 1.28"
1902-05-07T22:44:20Z,Solar Eclipse (Not visible),
1902-10-17T06:02:43Z,Lunar Eclipse (Not visible),
1902-10-31T06:42:21Z,Solar Eclipse (Partial),"Begin: 06:10, Max: 06:42, End: 07:17, Mag: 0.093"
1903-03-29T01:16:52Z,Solar Eclipse (Annular),"Begin: 00:28, Max: 01:17, End: 02:07, Mag: 0.969"
1903-04-12T00:12:17Z,Lunar Eclipse (Partial),"Begin: 22:41, Max: 00:12, End: 01:44, Mag: 0.87"
1903-09-21T04:29:58Z,Solar Eclipse (Not visible),
1903-10-06T15:16:51Z,Lunar Eclipse (Not visible),
1904-03-17T05:38:29Z,Solar Eclipse (Not visible),
1904-09-09T20:41:59Z,Solar Eclipse (Not visible),
1905-02-19T18:59:20Z,Lunar Eclipse (Partial),"Begin: 18:17, Max: 18:59, End: 19:42, Mag: 0.19"
1905-03-06T05:18:38Z,Solar Eclipse (Not visible),
1905-08-15T03:40:17Z,Lunar Eclipse (Partial),"Begin: 02:44, Max: 03:40, End: 04:37, Mag: 0.24"
1905-08-30T13:31:20Z,Solar Eclipse (Partial),"Begin: 12:22, Max: 13:31, End: 14:36, Mag: 0.688"
1906-01-24T17:08:39Z,Solar Eclipse (Not visible),
1906-02-09T07:46:15Z,Lunar Eclipse (Not visible),
1906-02-23T07:56:33Z,Solar Eclipse (Not visible),
1906-07-21T12:58:19Z,Solar Eclipse (Not visible),
1906-08-04T12:59:28Z,Lunar Eclipse (Not visible),
1906-08-20T01:26:41Z,Solar Eclipse (Not visible),
1907-01-14T05:01:19Z,Solar Eclipse (Partial),"Begin: 04:08, Max: 05:01, End: 05:59, Mag: 0.774"
1907-01-29T13:37:17Z,Lunar Eclipse (Not visible),
1907-07-10T15:16:20Z,Solar Eclipse (Not visible),
1907-07-25T04:21:45Z,Lunar Eclipse (Not visible),
1908-01-03T21:59:26Z,Solar Eclipse (Partial),"Begin: 21:20, Max: 21:59, End: 22:38, Mag: 0.586"
1908-06-28T16:30:46Z,Solar Eclipse (Not visible),
1908-12-23T11:49:04Z,Solar Eclipse (Not visible),
1909-06-04T01:28:09Z,Lunar Eclipse (Total),"Begin: 23:48, Max: 01:28, End: 03:08, Mag: 1.07"
1909-06-17T23:19:38Z,Solar Eclipse (Partial),"Begin: 22:34, Max: 23:20, End: 00:05, Mag: 0.908"
1909-11-13T02:17:29Z,Solar Eclipse (Not visible),
1909-11-27T08:53:58Z,Lunar Eclipse (Not visible),
1909-12-12T19:57:58Z,Solar Eclipse (Not visible),
1910-05-09T05:32:06Z,Solar Eclipse (Not visible),
1910-05-24T05:33:33Z,Lunar Eclipse (Not visible),
1910-11-02T01:55:20Z,Solar Eclipse (Not visible),
1910-11-17T00:20:10Z,Lunar Eclipse (Partial),"Begin: 22:59, Max: 00:20, End: 01:41, Mag: 0.94"
1911-04-28T22:24:17Z,Solar Eclipse (Not visible),
1911-10-22T02:37:30Z,Solar Eclipse (Annular),"Begin: 01:44, Max: 02:37, End: 03:34, Mag: 0.971"
1912-04-01T22:13:34Z,Lunar Eclipse (Partial),"Begin: 21:50, Max: 22:14, End: 22:37, Mag: 0.05"
1912-04-17T12:32:40Z,Solar Eclipse (Partial),"Begin: 11:12, Max: 12:33, End: 13:51, Mag: 0.775"
1912-09-26T11:44:08Z,Lunar Eclipse (Not visible),
1912-10-10T13:39:56Z,Solar Eclipse (Not visible),
1913-03-08T00:21:41Z,Solar Eclipse (Not visible),
1913-03-22T11:57:07Z,Lunar Eclipse (Not visible),
1913-04-06T17:47:19Z,Solar Eclipse (Not visible),
1913-08-31T20:37:20Z,Solar Eclipse (Not visible),
1913-09-15T12:47:37Z,Lunar Eclipse (Not visible),
1913-09-30T04:56:05Z,Solar Eclipse (Not visible),
1914-02-25T00:01:21Z,Solar Eclipse (Not visible),
1914-03-12T04:12:25Z,Lunar Eclipse (Partial),"Begin: 02:58, Max: 04:12, End: 05:27, Mag: 0.72"
1914-08-21T12:39:02Z,Solar Eclipse (Partial),"Begin: 11:25, Max: 12:39, End: 13:49, Mag: 0.831"
1914-09-04T13:54:14Z,Lunar Eclipse (Not visible),
1915-02-14T04:30:23Z,Solar Eclipse (Not visible),
1915-08-10T22:51:34Z,Solar Eclipse (Not visible),
1916-01-20T08:38:59Z,Lunar Eclipse (Not visible),
1916-02-03T17:30:47Z,Solar Eclipse (Partial),"Begin: 16:38, Max: 17:31, End: 18:21, Mag: 0.765"
1916-07-15T04:45:25Z,Lunar Eclipse (Not visible),
1916-07-30T02:14:33Z,Solar Eclipse (Not visible),
1916-12-24T20:30:28Z,Solar Eclipse (Not visible),
1917-01-08T07:44:06Z,Lunar Eclipse (Not visible),
1917-01-23T06:58:35Z,Solar Eclipse (Partial),"Begin: 05:59, Max: 06:59, End: 08:03, Mag: 0.638"
1917-06-19T13:01:26Z,Solar Eclipse (Not visible),
1917-07-04T21:38:22Z,Lunar Eclipse (Total),"Begin: 20:04, Max: 21:38, End: 23:12, Mag: 1.48"
1917-07-19T02:59:14Z,Solar Eclipse (Not visible),
1917-12-14T09:16:41Z,Solar Eclipse (Not visible),
1917-12-28T09:45:50Z,Lunar Eclipse (Not visible),
1918-06-08T22:14:56Z,Solar Eclipse (Partial),"Begin: 21:52, Max: 22:15, End: 22:37, Mag: 0.134"
1918-06-24T10:27:21Z,Lunar Eclipse (Not visible),
1918-12-03T15:18:31Z,Solar Eclipse (Not visible),
1919-05-29T13:11:14Z,Solar Eclipse (Not visible),
1919-11-22T16:28:34Z,Solar Eclipse (Partial),"Begin: 15:28, Max: 16:29, End: 17:24, Mag: 0.435"
1920-04-18T21:42:23Z,Solar Eclipse (Not visible),
1920-05-03T01:50:26Z,Lunar Eclipse (Total),"Begin: 00:01, Max: 01:50, End: 03:40, Mag: 1.17"
1920-05-18T06:24:26Z,Solar Eclipse (Not visible),
1920-10-27T14:10:56Z,Lunar Eclipse (Not visible),
1920-11-10T16:49:42Z,Solar Eclipse (Partial),"Begin: 15:56, Max: 16:50, End: 17:40, Mag: 0.391"
1921-04-08T09:00:24Z,Solar Eclipse (Partial),"Begin: 07:43, Max: 09:00, End: 10:23, Mag: 0.673"
1921-04-22T07:43:57Z,Lunar Eclipse (Not visible),
1921-10-01T12:25:41Z,Solar Eclipse (Not visible),
1921-10-16T22:53:17Z,Lunar Eclipse (Partial),"Begin: 21:16, Max: 22:53, End: 00:30, Mag: 0.87"
1922-03-28T14:36:03Z,Solar Eclipse (Partial),"Begin: 13:28, Max: 14:36, End: 15:38, Mag: 0.385"
1922-09-21T04:37:39Z,Solar Eclipse (Not visible),
1923-03-03T03:31:27Z,Lunar Eclipse (Partial),"Begin: 02:52, Max: 03:31, End: 04:11, Mag: 0.16"
1923-03-17T12:50:45Z,Solar Eclipse (Not visible),
1923-08-26T10:39:09Z,Lunar Eclipse (Not visible),
1923-09-10T20:54:34Z,Solar Eclipse (Partial),"Begin: 20:18, Max: 20:55, End: 21:30, Mag: 0.404"
1924-02-05T01:37:53Z,Solar Eclipse (Not visible),
1924-02-20T16:08:13Z,Lunar Eclipse (Not visible),
1924-03-05T15:57:14Z,Solar Eclipse (Not visible),
1924-07-31T19:41:25Z,Solar Eclipse (Not visible),
1924-08-14T20:19:48Z,Lunar Eclipse (Total),"Begin: 18:42, Max: 20:20, End: 21:58, Mag: 1.53"
1924-08-30T08:36:20Z,Solar Eclipse (Not visible),
1925-01-24T16:09:44Z,Solar Eclipse (Partial),"Begin: 15:15, Max: 16:10, End: 17:01, Mag: 0.578"
1925-02-08T21:41:40Z,Lunar Eclipse (Partial),"Begin: 20:08, Max: 21:42, End: 23:15, Mag: 0.71"
1925-07-20T21:39:27Z,Solar Eclipse (Not visible),
1925-08-04T11:52:15Z,Lunar Eclipse (Not visible),
1926-01-14T06:34:14Z,Solar Eclipse (Not visible),
1926-07-09T23:05:57Z,Solar Eclipse (Not visible),
1927-01-03T20:27:29Z,Solar Eclipse (Not visible),
1927-06-15T08:23:59Z,Lunar Eclipse (Not visible),
1927-06-29T05:10:45Z,Solar Eclipse (Partial),"Begin: 04:15, Max: 05:11, End: 06:12, Mag: 0.748"
1927-11-24T10:08:48Z,Solar Eclipse (Not visible),
1927-12-08T17:34:28Z,Lunar Eclipse (Total),"Begin: 16:04, Max: 17:34, End: 19:05, Mag: 1.21"
1927-12-24T04:12:52Z,Solar Eclipse (Not visible),
1928-05-19T13:13:38Z,Solar Eclipse (Not visible),
1928-06-03T12:09:15Z,Lunar Eclipse (Not visible),
1928-06-17T20:41:40Z,Solar Eclipse (Not visible),
1928-11-12T08:47:07Z,Solar Eclipse (Partial),"Begin: 07:40, Max: 08:47, End: 09:58, Mag: 0.329"
1928-11-27T09:01:04Z,Lunar Eclipse (Not visible),
1929-05-09T06:06:53Z,Solar Eclipse (Not visible),
